CleanSpeechFile,NoiseType,SNR,EnergyCleanSpeech,EnergyNoisySpeech
1.wav,horn.wav,10,3.69994350180215e-05,4.06982820328702e-05
1.wav,horn.wav,50,3.69994350180215e-05,3.69997940475021e-05
1.wav,mouse.wav,10,3.69994350180215e-05,4.06990781380124e-05
1.wav,mouse.wav,50,3.69994350180215e-05,3.69998020085535e-05
1.wav,whitenoise.wav,10,3.69994350180215e-05,4.06997505519523e-05
1.wav,whitenoise.wav,50,3.69994350180215e-05,3.69998087326929e-05
2.wav,horn.wav,10,2.72109112433807e-05,2.99334849688404e-05
2.wav,horn.wav,50,2.72109112433807e-05,2.72111981785043e-05
2.wav,mouse.wav,10,2.72109112433807e-05,2.99336885176353e-05
2.wav,mouse.wav,50,2.72109112433807e-05,2.72112002139923e-05
2.wav,whitenoise.wav,10,2.72109112433807e-05,2.9930999420032e-05
2.wav,whitenoise.wav,50,2.72109112433807e-05,2.72111733230162e-05
3.wav,horn.wav,10,0.000170960682695118,0.000188054093156313
3.wav,horn.wav,50,0.000170960682695118,0.000170962365723861
3.wav,mouse.wav,10,0.000170960682695118,0.000188066830279944
3.wav,mouse.wav,50,0.000170960682695118,0.000170962493095098
3.wav,whitenoise.wav,10,0.000170960682695118,0.000188047320675483
3.wav,whitenoise.wav,50,0.000170960682695118,0.000170962297999053
4.wav,horn.wav,10,0.000139391801044018,0.000153334769992561
4.wav,horn.wav,50,0.000139391801044018,0.00013939323285047
4.wav,mouse.wav,10,0.000139391801044018,0.000153332043465039
4.wav,mouse.wav,50,0.000139391801044018,0.000139393205585194
4.wav,whitenoise.wav,10,0.000139391801044018,0.000153327467889147
4.wav,whitenoise.wav,50,0.000139391801044018,0.000139393159829435
5.wav,horn.wav,10,0.000171283999563234,0.000188415683781181
5.wav,horn.wav,50,0.000171283999563234,0.000171285745245846
5.wav,mouse.wav,10,0.000171283999563234,0.000188423486884194
5.wav,mouse.wav,50,0.000171283999563234,0.000171285823276876
5.wav,whitenoise.wav,10,0.000171283999563234,0.00018843026239766
5.wav,whitenoise.wav,50,0.000171283999563234,0.000171285891032011
6.wav,horn.wav,10,0.000416984576107135,0.000458667843635284
6.wav,horn.wav,50,0.000416984576107135,0.00041698859405207
6.wav,mouse.wav,10,0.000416984576107135,0.00045868235986792
6.wav,mouse.wav,50,0.000416984576107135,0.000416988739214397
6.wav,whitenoise.wav,10,0.000416984576107135,0.000458679242069944
6.wav,whitenoise.wav,50,0.000416984576107135,0.000416988708036417
7.wav,horn.wav,10,0.000252123864623294,0.000277366357602651
7.wav,horn.wav,50,0.000252123864623294,0.000252126686927111
7.wav,mouse.wav,10,0.000252123864623294,0.000277332461080923
7.wav,mouse.wav,50,0.000252123864623294,0.000252126347961893
7.wav,whitenoise.wav,10,0.000252123864623294,0.000277300501602687
7.wav,whitenoise.wav,50,0.000252123864623294,0.000252126028367111
8.wav,horn.wav,10,7.49748464315228e-05,8.24730807370948e-05
8.wav,horn.wav,50,7.49748464315228e-05,7.49756036766113e-05
8.wav,mouse.wav,10,7.49748464315228e-05,8.24707783131775e-05
8.wav,mouse.wav,50,7.49748464315228e-05,7.49755806523721e-05
8.wav,whitenoise.wav,10,7.49748464315228e-05,8.24710723349884e-05
8.wav,whitenoise.wav,50,7.49748464315228e-05,7.49755835925902e-05
9.wav,horn.wav,10,0.000216931283202796,0.000238622897618454
9.wav,horn.wav,50,0.000216931283202796,0.000216933437376582
9.wav,mouse.wav,10,0.000216931283202796,0.000238628107447299
9.wav,mouse.wav,50,0.000216931283202796,0.00021693348947487
9.wav,whitenoise.wav,10,0.000216931283202796,0.000238613677484732
9.wav,whitenoise.wav,50,0.000216931283202796,0.000216933345175244
10.wav,horn.wav,10,9.76435513705047e-05,0.000107402741040409
10.wav,horn.wav,50,9.76435513705047e-05,9.76444761513469e-05
10.wav,mouse.wav,10,9.76435513705047e-05,0.000107404891245636
10.wav,mouse.wav,50,9.76435513705047e-05,9.76444976533992e-05
10.wav,whitenoise.wav,10,9.76435513705047e-05,0.000107410350537581
10.wav,whitenoise.wav,50,9.76435513705047e-05,9.76445522463187e-05
