CleanSpeechFile,NoiseType,SNR,EnergyNoisySpeech,EnergyDenoisedDefault,EnergyDenoisedModified
1.wav,horn.wav,10,4.06982820328702e-05,9.94508951017487e-05,9.94508951017487e-05
1.wav,horn.wav,50,3.69997940475021e-05,0.000147608579560484,0.000147608579560484
1.wav,mouse.wav,10,4.06327302371532e-05,0.000162157824216451,0.000162157824216451
1.wav,mouse.wav,50,3.69991385295449e-05,0.000147658412532344,0.000147658412532344
1.wav,whitenoise.wav,10,4.07114178153487e-05,0.000116510038849425,0.000116510038849425
1.wav,whitenoise.wav,50,3.69999254053269e-05,0.000147639997534548,0.000147639997534548
2.wav,horn.wav,10,2.99334849688404e-05,7.25071459831612e-05,7.25071459831612e-05
2.wav,horn.wav,50,2.72111981785043e-05,0.000108540906906818,0.000108540906906818
2.wav,mouse.wav,10,2.98160751629195e-05,0.000118968964418784,0.000118968964418784
2.wav,mouse.wav,50,2.72100240804451e-05,0.000108569790134983,0.000108569790134983
2.wav,whitenoise.wav,10,2.98276566131234e-05,8.49105077945603e-05,8.49105077945603e-05
2.wav,whitenoise.wav,50,2.72101398949472e-05,0.000108556534930708,0.000108556534930708
3.wav,horn.wav,10,0.000188054093156313,0.000431612248839438,0.000431612248839438
3.wav,horn.wav,50,0.000170962365723861,0.000682906366298126,0.000682906366298126
3.wav,mouse.wav,10,0.00018810274201329,0.000751606052859931,0.000751606052859931
3.wav,mouse.wav,50,0.000170962852212431,0.000683149357364987,0.000683149357364987
3.wav,whitenoise.wav,10,0.000187925282888606,0.000521247839612243,0.000521247839612243
3.wav,whitenoise.wav,50,0.000170961077621184,0.000683047317877451,0.000683047317877451
4.wav,horn.wav,10,0.000153334769992561,0.000374239927890927,0.000374239927890927
4.wav,horn.wav,50,0.00013939323285047,0.000557036847185434,0.000557036847185434
4.wav,mouse.wav,10,0.000153365052061121,0.000613071754354737,0.000613071754354737
4.wav,mouse.wav,50,0.000139393535671155,0.000557236210214358,0.000557236210214358
4.wav,whitenoise.wav,10,0.000153170807357222,0.000433674954208192,0.000433674954208192
4.wav,whitenoise.wav,50,0.000139391593224116,0.00055715171387112,0.00055715171387112
5.wav,horn.wav,10,0.000188415683781181,0.000451136283850565,0.000451136283850565
5.wav,horn.wav,50,0.000171285745245846,0.000684031152137918,0.000684031152137918
5.wav,mouse.wav,10,0.000188387628476749,0.000752530918029069,0.000752530918029069
5.wav,mouse.wav,50,0.000171285464692802,0.0006842439973572,0.0006842439973572
5.wav,whitenoise.wav,10,0.000188658887489113,0.000530599786968409,0.000530599786968409
5.wav,whitenoise.wav,50,0.000171288177282925,0.000684158068344181,0.000684158068344181
6.wav,horn.wav,10,0.000458667843635284,0.00122082296063093,0.00122082296063093
6.wav,horn.wav,50,0.00041698859405207,0.00166719218987913,0.00166719218987913
6.wav,mouse.wav,10,0.000457896688958669,0.00183123935255904,0.00183123935255904
6.wav,mouse.wav,50,0.000416980882505304,0.00166767861168616,0.00166767861168616
6.wav,whitenoise.wav,10,0.000457999745641442,0.0013728653244824,0.0013728653244824
6.wav,whitenoise.wav,50,0.000416981913072132,0.00166746027027151,0.00166746027027151
7.wav,horn.wav,10,0.000277366357602651,0.000690648416118326,0.000690648416118326
7.wav,horn.wav,50,0.000252126686927111,0.00100705793661307,0.00100705793661307
7.wav,mouse.wav,10,0.00027686925516677,0.00110623985828883,0.00110623985828883
7.wav,mouse.wav,50,0.000252121715902752,0.00100740413273756,0.00100740413273756
7.wav,whitenoise.wav,10,0.00027745995983646,0.000809405757893423,0.000809405757893423
7.wav,whitenoise.wav,50,0.000252127622949449,0.00100726633415604,0.00100726633415604
8.wav,horn.wav,10,8.24730807370948e-05,0.000222615225675176,0.000222615225675176
8.wav,horn.wav,50,7.49756036766113e-05,0.000299333116336812,0.000299333116336812
8.wav,mouse.wav,10,8.26509968521655e-05,0.000330071966837065,0.000330071966837065
8.wav,mouse.wav,50,7.4977382837762e-05,0.000299436896722522,0.000299436896722522
8.wav,whitenoise.wav,10,8.24915498536686e-05,0.000247506488666198,0.000247506488666198
8.wav,whitenoise.wav,50,7.4975788367777e-05,0.000299386054407347,0.000299386054407347
9.wav,horn.wav,10,0.000238622897618454,0.000609524724442798,0.000609524724442798
9.wav,horn.wav,50,0.000216933437376582,0.000866534755450856,0.000866534755450856
9.wav,mouse.wav,10,0.000238559371872738,0.000953196659520077,0.000953196659520077
9.wav,mouse.wav,50,0.000216932802119124,0.000866827108147788,0.000866827108147788
9.wav,whitenoise.wav,10,0.000238584091066036,0.000696973431704606,0.000696973431704606
9.wav,whitenoise.wav,50,0.000216933049311057,0.000866696074409111,0.000866696074409111
10.wav,horn.wav,10,0.000107402741040409,0.000279628508876437,0.000279628508876437
10.wav,horn.wav,50,9.76444761513469e-05,0.000390053544420476,0.000390053544420476
10.wav,mouse.wav,10,0.000107418498859873,0.00042920816029318,0.00042920816029318
10.wav,mouse.wav,50,9.76446337295416e-05,0.000390165196719797,0.000390165196719797
10.wav,whitenoise.wav,10,0.000107276780065345,0.000320649568355164,0.000320649568355164
10.wav,whitenoise.wav,50,9.76432165415963e-05,0.000390112500867082,0.000390112500867082
